timestamp,station,precipitation_mm
2026-09-11T05:00:00Z,Wasserstraße,0
2026-09-11T05:00:00Z,Königsallee,0
2026-09-11T05:00:00Z,Wasserbaulabor 2,0
2026-09-11T05:00:00Z,Herzogstraße,0
2026-09-11T05:05:00Z,An der Kost,0
2026-09-11T05:05:00Z,Wasserstraße,0
2026-09-11T05:05:00Z,Königsallee,0
2026-09-11T05:05:00Z,Wasserbaulabor 2,0
2026-09-11T05:05:00Z,Herzogstraße,0
2026-09-11T05:10:00Z,An der Kost,0
2026-09-11T05:10:00Z,Wasserstraße,0
2026-09-11T05:10:00Z,Königsallee,0
2026-09-11T05:10:00Z,Wasserbaulabor 2,0
2026-09-11T05:10:00Z,Herzogstraße,0
2026-09-11T05:15:00Z,An der Kost,0
2026-09-11T05:15:00Z,Wasserstraße,0
2026-09-11T05:15:00Z,Königsallee,0
2026-09-11T05:15:00Z,Wasserbaulabor 2,0
2026-09-11T05:15:00Z,Herzogstraße,0
2026-09-11T05:20:00Z,An der Kost,0
2026-09-11T05:20:00Z,Wasserstraße,0
2026-09-11T05:20:00Z,Königsallee,0
2026-09-11T05:20:00Z,Wasserbaulabor 2,0
2026-09-11T05:20:00Z,Herzogstraße,0
2026-09-11T05:25:00Z,An der Kost,0
2026-09-11T05:25:00Z,Wasserstraße,0
2026-09-11T05:25:00Z,Königsallee,0
2026-09-11T05:25:00Z,Wasserbaulabor 2,0
2026-09-11T05:25:00Z,Herzogstraße,0
2026-09-11T05:30:00Z,An der Kost,0
2026-09-11T05:30:00Z,Wasserstraße,0
2026-09-11T05:30:00Z,Königsallee,0
2026-09-11T05:30:00Z,Wasserbaulabor 2,0
2026-09-11T05:30:00Z,Herzogstraße,0
2026-09-11T05:35:00Z,An der Kost,0
2026-09-11T05:35:00Z,Wasserstraße,0
2026-09-11T05:35:00Z,Königsallee,0
2026-09-11T05:35:00Z,Wasserbaulabor 2,0
2026-09-11T05:35:00Z,Herzogstraße,0
2026-09-11T05:40:00Z,An der Kost,0
2026-09-11T05:40:00Z,Wasserstraße,0
2026-09-11T05:40:00Z,Königsallee,0
2026-09-11T05:40:00Z,Wasserbaulabor 2,0
2026-09-11T05:40:00Z,Herzogstraße,0
2026-09-11T05:45:00Z,An der Kost,0
2026-09-11T05:45:00Z,Wasserstraße,0
2026-09-11T05:45:00Z,Königsallee,0
2026-09-11T05:45:00Z,Wasserbaulabor 2,0
2026-09-11T05:45:00Z,Herzogstraße,0
2026-09-11T05:50:00Z,An der Kost,0
2026-09-11T05:50:00Z,Wasserstraße,0
2026-09-11T05:50:00Z,Königsallee,0
2026-09-11T05:50:00Z,Wasserbaulabor 2,0
2026-09-11T05:50:00Z,Herzogstraße,0
2026-09-11T05:55:00Z,An der Kost,0
2026-09-11T05:55:00Z,Wasserstraße,0
2026-09-11T05:55:00Z,Königsallee,0
2026-09-11T05:55:00Z,Wasserbaulabor 2,0
2026-09-11T05:55:00Z,Herzogstraße,0
2026-09-11T06:00:00Z,An der Kost,0
2026-09-11T06:00:00Z,Wasserstraße,0
2026-09-11T06:00:00Z,Königsallee,0
2026-09-11T06:00:00Z,Wasserbaulabor 2,0
2026-09-11T06:00:00Z,Herzogstraße,0
2026-09-11T06:05:00Z,An der Kost,0
2026-09-11T06:05:00Z,Wasserstraße,0
2026-09-11T06:05:00Z,Königsallee,0
2026-09-11T06:05:00Z,Wasserbaulabor 2,0
2026-09-11T06:05:00Z,Herzogstraße,0
2026-09-11T06:10:00Z,An der Kost,0
2026-09-11T06:10:00Z,Wasserstraße,0
2026-09-11T06:10:00Z,Königsallee,0
2026-09-11T06:10:00Z,Wasserbaulabor 2,0
2026-09-11T06:10:00Z,Herzogstraße,0
2026-09-11T06:15:00Z,An der Kost,0
2026-09-11T06:15:00Z,Wasserstraße,0
2026-09-11T06:15:00Z,Königsallee,0
2026-09-11T06:15:00Z,Wasserbaulabor 2,0
2026-09-11T06:15:00Z,Herzogstraße,0
2026-09-11T06:20:00Z,An der Kost,0
2026-09-11T06:20:00Z,Wasserstraße,0
