"station","start_time","end_time","peak_level_cm","peak_time","duration_min","avg_gradient_cm_min","event_type","points_count","total_precip_mm","max_intensity_mm_h","openmeteo_verified","dwd_risk_level","radolan_verified","level_reliable"
"An_der_Kost","2026/01/09 11:41:00","2026/01/09 17:30:00",0.4,"2026/01/09 11:44:00",349,0.129,"Leichter Regen / Unterhalb DWD-Schwelle",346,0.76,1.08,NA,NA,TRUE,NA
"An_der_Kost","2026/01/14 04:18:00","2026/01/14 07:54:00",0.8,"2026/01/14 06:29:00",216,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",217,0.44,0.96,NA,NA,TRUE,NA
"An_der_Kost","2026/01/14 04:27:00","2026/01/14 06:45:00",0.8,"2026/01/14 06:29:00",138,0.007,"Leichter Regen / Unterhalb DWD-Schwelle",139,0.38,0.96,NA,NA,TRUE,NA
"An_der_Kost","2026/01/14 05:12:00","2026/01/14 06:35:00",0.8,"2026/01/14 06:29:00",83,0.01,"Leichter Regen / Unterhalb DWD-Schwelle",65,0.36,0.96,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2026/01/14 05:29:00","2026/01/14 06:35:00",0.7,"2026/01/14 06:29:00",66,0.012,"Leichter Regen / Unterhalb DWD-Schwelle",30,0.36,0.96,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/01/14 12:06:00","2026/01/14 12:24:00",0.6,"2026/01/14 12:20:00",18,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",4,0.01,0.12,NA,"Level 0 – Kein nennenswerter Regen",TRUE,NA
"Königsallee_Springorum","2026/01/22 21:12:00","2026/01/22 22:58:00",0.7,"2026/01/22 22:38:00",106,0.008,"Leichter Regen / Unterhalb DWD-Schwelle",70,0.16,0.84,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/01/24 02:46:00","2026/01/24 04:09:00",0.8,"2026/01/24 03:44:00",83,0.014,"Leichter Regen / Unterhalb DWD-Schwelle",168,0.46,0.84,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/24 03:23:00","2026/01/24 04:09:00",1,"2026/01/24 03:44:00",46,0.047,"Leichter Regen / Unterhalb DWD-Schwelle",64,0.46,0.84,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/01/25 08:00:00","2026/01/25 15:42:00",0.6,"2026/01/25 10:02:00",462,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",929,0.11,0.6,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/01/25 18:02:00","2026/01/25 19:59:00",0.8,"2026/01/25 18:17:00",117,0.053,"Leichter Regen / Unterhalb DWD-Schwelle",34,0.06,0.36,NA,"Level 0 – Kein nennenswerter Regen",TRUE,NA
"Königsallee_Springorum","2026/01/27 20:00:00","2026/01/27 20:59:00",0.7,"2026/01/27 20:24:00",59,0.029,"Leichter Regen / Unterhalb DWD-Schwelle",72,1.17,2.16,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/01/28 04:12:00","2026/01/28 18:34:00",0.9,"2026/01/28 07:06:00",862,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",1729,1.29,1.8,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/01 19:25:00","2026/02/02 09:49:00",0.8,"2026/02/02 04:14:00",864,0.002,"Leichter Regen / Unterhalb DWD-Schwelle",1732,0.61,0.96,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/02 16:59:00","2026/02/03 14:37:00",39.8,"2026/02/03 06:21:00",1298,0.05,"Regenereignis / Natürlich",2601,2.18,2.04,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/06 14:31:00","2026/02/06 14:59:00",0.8,"2026/02/06 14:56:00",28,0.032,"Leichter Regen / Unterhalb DWD-Schwelle",28,0.3,1.08,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"An_der_Kost","2026/02/11 17:49:00","2026/02/11 18:28:00",0.5,"2026/02/11 17:55:00",39,0.082,"Leichter Regen / Unterhalb DWD-Schwelle",80,0.13,1.56,NA,NA,TRUE,NA
"Königsallee_Springorum","2026/02/12 01:18:00","2026/02/12 03:37:00",0.6,"2026/02/12 01:54:00",139,0.017,"Leichter Regen / Unterhalb DWD-Schwelle",42,0.5,1.56,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/02/15 15:51:00","2026/02/15 17:21:00",0.6,"2026/02/15 16:05:00",90,0.043,"Leichter Regen / Unterhalb DWD-Schwelle",20,0.59,3.24,NA,"Level 1 – Leichter Regen (0.5–15 mm/h)",TRUE,NA
"Königsallee_Springorum","2026/02/15 19:00:00","2026/02/16 10:54:00",1.1,"2026/02/15 22:52:00",954,0.005,"Leichter Regen / Unterhalb DWD-Schwelle",1906,6.8,3.36,NA,NA,TRUE,NA
"An_der_Kost","2026/02/16 07:50:00","2026/02/16 08:23:00",0.5,"2026/02/16 07:54:00",33,0.122,"Leichter Regen / Unterhalb DWD-Schwelle",68,0.05,0.6,NA,NA,TRUE,NA
"An_der_Kost","2026/02/16 13:26:00","2026/02/16 16:12:00",0.5,"2026/02/16 14:46:00",166,0.006,"Leichter Regen / Unterhalb DWD-Schwelle",332,0.49,0.72,NA,NA,TRUE,NA
"An_der_Kost","2026/02/16 14:43:00","2026/02/16 16:01:00",0.7,"2026/02/16 14:46:00",78,0.226,"Leichter Regen / Unterhalb DWD-Schwelle",158,0.46,0.72,NA,NA,TRUE,NA
"An_der_Kost","2026/02/17 10:02:00","2026/02/17 10:08:00",0.6,"2026/02/17 10:05:00",6,0.194,"Leichter Regen / Unterhalb DWD-Schwelle",14,0.44,2.52,NA,NA,TRUE,NA
"Wasserbaulabor_2","2026/02/18 09:06:30","2026/02/18 11:56:00",3.1,"2026/02/18 09:36:00",169.5,0.105,"Regenereignis / Natürlich",644,0,0,NA,"Level 0 – Kein nennenswerter Regen",FALSE,NA
"Wasserbaulabor_2","2026/02/18 09:18:15","2026/02/18 09:48:45",3.1,"2026/02/18 09:36:00",30.5,0.174,"Sturzflut-Ereignis",206,0,0,FALSE,"Level 0 – Kein nennenswerter Regen",NA,NA
